Year,Firm,Total Revenue ($),Net Income ($),Total Assets ($),Current Liabilities ($),Cash Flow from Operating Activities ($),Revenue Growth (%),Net Income Growth (%),Change in Assets (%),Change in Liabilities (%),Change in Cash Flow (%)
2021,TSLA,53.82,5.52,62.13,30.55,11.5,70.67,666.16,19.14,7.3,93.45
2022,TSLA,81.46,12.58,82.34,36.44,14.72,51.35,127.79,32.52,19.29,28.07
2023,TSLA,96.77,15,106.62,43.01,13.26,18.8,19.2,29.49,18.03,-9.97
2021,AAPL,365.82,94.68,351,287.91,104.04,33.26,64.92,8.37,11.36,28.96
2022,AAPL,394.33,99.8,352.76,302.08,122.15,7.79,5.41,0.5,4.92,17.41
2023,AAPL,383.28,97,352.58,290.44,110.54,-2.8,-2.81,-0.05,-3.86,-9.5
2021,MSFT,168.09,61.27,333.78,191.79,76.74,-15.22,-15.76,-8.51,-3.28,-13.81
2022,MSFT,198.27,72.74,364.84,198.3,89.04,17.96,18.72,9.31,3.39,16.02
2023,MSFT,211.92,72.36,411.98,205.75,87.58,6.88,-0.52,12.92,3.76,-1.63
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
